mu,sigma,median,min,max,variance
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.84857910055166e-08,0.0026831785310605025,0.0026831811660148145,0.0026831297743559815,0.0026832249386064453,8.114402892099704e-16
0.01457902258879284,0.01739319343542205,0.013233831106467368,0.0026466945794974624,0.058229333469892244,0.00021254789964453188
0.03859753428139574,0.05288748222766545,0.042312832954444095,0.007932529801276518,0.14279485620630009,0.0014897696526035198
0.06404675657639118,0.08088258581979445,0.05617395105897059,0.018726532684239874,0.2781821636350688,0.0041019870279555065
0.07592472725610469,0.08980697080078306,0.05507113154630942,0.022029729516764792,0.34965540550835134,0.005764564208913887
0.07271816364747169,0.09989588866411647,0.06750798868253698,0.026411676180336807,0.3197971248840487,0.0052879313242604736
0.049307479582073724,0.07492367586006556,0.05906748651783694,0.017376424988184015,0.2292112554741078,0.002431227542736617
0.06513705321366003,0.11073227811513009,0.10826417667821486,0.019694057624552615,0.23116728582941332,0.0042428357013591786
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1.8369942589133408e-08,0.002682906456998329,0.002682908346642933,0.002682871234762897,0.0026829306158397915,3.3745479072805735e-16
0.015710825804804228,0.023684071231531358,0.01587750127948264,0.005292620379706695,0.06086646814794093,0.00024683004746890236
0.04611350508063116,0.06476905919051729,0.06212377322546895,0.010574802047367524,0.21942364916069043,0.0021264553508213956
0.056933398152453844,0.09866206781030731,0.08822619817356869,0.018717351462569188,0.23529749818274856,0.0032414118251858346
0.0764919989175705,0.1202414081427127,0.10043996773060444,0.030269265240296998,0.3384962576950897,0.005851025898405606
0.07550143150617018,0.11063479956983653,0.10693143305544112,0.005862324678906875,0.29609879073879986,0.005700466159480907
0.06284621552960701,0.09816869401794379,0.09522589507492765,0.020786529384072185,0.2599555560208842,0.003949646806393817
0.09533292642648611,0.13336177906292604,0.12534596024829014,0.009712637135831209,0.34172254825662324,0.009088366861037814
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.3809713344852263e-08,0.0026826622437463483,0.002682666078880307,0.00268261271335124,0.0026826901908877042,5.66902449564036e-16
0.011333191481746266,0.01971122067921183,0.015874483537889016,0.005291333724788778,0.044978056996263664,0.00012844122916192611
0.04013748983267376,0.05642636273237861,0.0449271146426696,0.007928027761582645,0.14007193097355208,0.0016110180900679896
0.04859045836071429,0.07296529981887909,0.06547622824334769,0.013363217872018114,0.20846694965642604,0.002361032643704309
0.05521305345474183,0.07919379545641339,0.06600073128148148,0.019247752699754775,0.24747337836544506,0.003048481271796179
0.0625522391452149,0.07976753998542793,0.054145841136902184,0.01756735299903769,0.2575854573263291,0.0039127826220801565
0.05053526609173333,0.06592984664407868,0.05003181294939409,0.01036257972637815,0.18638716198486982,0.0025538131189622925
0.07356139771258285,0.08508745866078471,0.06544154915148376,0.009389552950705909,0.2709632104489407,0.005411279233428789
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2.522121223207281e-08,0.002682429852210427,0.0026824305340234405,0.0026823986273976264,0.0026824603952102133,6.361095464552591e-16
0.013106639801487656,0.01706260576190415,0.010581654287605673,0.0026454140102289197,0.05026193327636392,0.00017178400688594038
0.0407041685440881,0.05588320454667571,0.044921127037983156,0.01056802021810084,0.14003684400966188,0.001656829336865531
0.05332296238606846,0.07961651409687645,0.06679265168978307,0.018699323257058736,0.21106061519618144,0.0028433383176260725
0.06224510562586204,0.09439900794431696,0.07556943047494527,0.01649268215093701,0.2555700224535117,0.0038744531743747216
0.0635181151169788,0.08815898466151398,0.08188076873233345,0.014626562516946696,0.25437524120679217,0.004034550948013771
0.04944018106128985,0.07658291823393604,0.0774600862124507,0.01719224182348682,0.21680766734007306,0.0024443315033731237
0.07465880130609996,0.09138638306838018,0.05892936300181126,0.009138114239328613,0.28109234351556545,0.005573936612463714
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
4.033067982303527e-08,0.002682299323187338,0.002682301110346147,0.0026822291328602362,0.0026823485271327344,1.6265637349881843e-15
0.01844346914747907,0.0255239441417807,0.021159667363614104,0.002644876788102754,0.08992369014678005,0.0003401615541940124
0.06391394277206766,0.07462595734787976,0.056797209337218366,0.007924358104011984,0.28266640724240105,0.00408499208067114
0.07404455213032449,0.09761492708651527,0.07211056702762311,0.005340964773997628,0.2937410892036314,0.0054825957001803415
0.07760686184499789,0.11672933154981828,0.09748364836474199,0.005492208421623623,0.2526263333621374,0.006022825005428589
0.07519522359127094,0.10427321209087033,0.08473372530010269,0.008759709005972099,0.23365623973918803,0.005654321650941229
0.0585786843319485,0.07379074769854457,0.048081152786172976,0.013715550021901068,0.19559278475650868,0.003431462258062069
0.07401769658132859,0.09707907958872633,0.09235536312518522,0.017606435804418334,0.252981290512657,0.005478619407205622
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0.0009995235908631642,0.003129206176541078,0.002682216333153321,0.002682169694054301,0.005364208869605811,9.99047408691994e-07
0.02542024912039748,0.02909082365368339,0.023802194515720243,0.0026446262516218277,0.10577892450544248,0.0006461890653430689
0.052563477836170866,0.07804300042777786,0.06734616869038987,0.013205101162951989,0.21126832492226205,0.0027629192022336256
0.07618877689574372,0.10919634299979972,0.1054630531394403,0.01868845104395763,0.2936480178303079,0.005804729724869412
0.09272603246463063,0.1342311370864489,0.111185434533182,0.021959112220130833,0.3293373162186251,0.008598117096631733
0.07817503447251815,0.11334928747314574,0.0919158847007412,0.02043349955852858,0.3208247365102999,0.006111336014779403
0.07537241888497626,0.09956831838125721,0.07531036178254179,0.013704894980406336,0.3076540448634758,0.0056810015285723246
0.0809842382997963,0.12290340201862701,0.11191437544793433,0.02565010168172726,0.2971350207574296,0.006558446852998194
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
6.039535992048818e-08,0.0026821197757750984,0.002682115255562745,0.002682024786775765,0.0026822316109839225,3.647599499925311e-15
